model,track,horizon_step,fold,target_type,mae,rmse,wape,mean_poisson_deviance,r_squared,mean_signed_error,negative_predictions_clipped,slice_type,slice_value,n,station_median_mae,worst_quintile_station_mae
historical_average,day_ahead,1,0,combined,1.959817047739015,2.6540561108562093,0.5930282132927855,2.0951741638938097,0.33947485971503466,-0.0016489366677763008,0,overall,all,840,1.9176854601351705,2.7924007038359093
historical_average,day_ahead,1,0,pickups,1.1575736791175673,1.5414220252899988,0.7445343724799055,1.503084362427018,0.26932503018131604,0.07033124569633968,0,overall,all,840,1.1312858324116528,1.6442308980476978
historical_average,day_ahead,1,0,returns,1.1917188875541624,1.6989217276446467,0.6809822214595214,1.5452309157264392,0.3047967223521205,-0.07198018236411599,0,overall,all,840,1.1520384606041665,1.8478950160909686
historical_average,day_ahead,1,1,combined,2.0205708382635184,2.618028895736333,0.8668762600600899,2.4153245082755377,-0.07026210204903749,0.9729083838406911,0,overall,all,810,2.029782968617895,2.913829183758647
historical_average,day_ahead,1,1,pickups,1.1831901790197865,1.6143423693710837,1.0239145779978922,1.7246471817606737,-0.10381826045428899,0.467308354527793,0,overall,all,810,1.1580697659951693,1.6773860241904661
historical_average,day_ahead,1,1,returns,1.1554487696831035,1.4838972059024234,0.9831024195833129,1.5997634759995165,0.03751858934672181,0.505600029312898,0,overall,all,810,1.1502077555975696,1.72185425940865
historical_average,day_ahead,1,2,combined,1.818157654362111,2.283132858941966,0.7991901777415872,2.1307294707473945,0.03627414097631587,0.9976008479399084,0,overall,all,840,1.7577938400634978,2.766712178461128
historical_average,day_ahead,1,2,pickups,1.1232687463263693,1.3956958007379414,0.9984611078456617,1.5994645344358749,0.03170821197667284,0.4876153195710518,0,overall,all,840,1.0833635652063025,1.5678823699809594
historical_average,day_ahead,1,2,returns,1.0882348244242752,1.3988571945489525,0.9462911516732827,1.5268658914677233,0.022239474973084428,0.5099855283688566,0,overall,all,840,1.0719415925710942,1.641787538733442
historical_average,day_ahead,2,0,combined,1.3641662420739278,1.865651830840366,0.7811176846231079,1.83083413332875,0.26741179592822406,0.07320327202711127,0,overall,all,840,1.340154175616,2.06607059400188
