fold,track,horizon_step,target_type,model,baseline,day_blocks,mae_difference,ci_95_low,ci_95_high,bootstrap_seed,bootstrap_replicates
0,day_ahead,1,combined,lightgbm_poisson,historical_average,28,-0.08874510370727125,-0.19645607848449415,0.019869840692697285,20260728,300
0,day_ahead,1,combined,poisson_glm,historical_average,28,5.409155690961347,4.537288420375512,6.1977346557755535,20260728,300
0,day_ahead,1,combined,recent_average,historical_average,28,0.3619091427371754,0.21956044773720862,0.5257968023917184,20260728,300
0,day_ahead,1,combined,seasonal_naive,historical_average,28,0.6366115236895561,0.45510104053868233,0.8778452447619288,20260728,300
0,day_ahead,1,pickups,lightgbm_poisson,historical_average,28,-0.05168562829930777,-0.11928938739293962,0.0033149126394701163,20260728,300
0,day_ahead,1,pickups,poisson_glm,historical_average,28,2.3863556239707924,1.9873545474524181,2.7432330633777773,20260728,300
0,day_ahead,1,pickups,recent_average,historical_average,28,0.195104892311004,0.11704292394715324,0.2982153753336232,20260728,300
0,day_ahead,1,pickups,seasonal_naive,historical_average,28,0.36147393993005167,0.25179818157818823,0.4776623593158364,20260728,300
0,day_ahead,1,returns,lightgbm_poisson,historical_average,28,0.007871872058565394,-0.02716216486301467,0.051492985374048325,20260728,300
0,day_ahead,1,returns,poisson_glm,historical_average,28,2.89814909910298,2.4888871672389756,3.2704146224070754,20260728,300
0,day_ahead,1,returns,recent_average,historical_average,28,0.17078111244583777,0.09315487439625983,0.24959393957408063,20260728,300
0,day_ahead,1,returns,seasonal_naive,historical_average,28,0.328519207683933,0.22589155700298563,0.4419898179445723,20260728,300
0,day_ahead,2,combined,lightgbm_poisson,historical_average,28,0.053779914884216524,-0.0391443942824151,0.12635714336984083,20260728,300
0,day_ahead,2,combined,poisson_glm,historical_average,28,7.8442958055390575,6.88713854471236,8.694916321842928,20260728,300
0,day_ahead,2,combined,recent_average,historical_average,28,0.2248218531641674,0.10645321223699952,0.3614458060552595,20260728,300
0,day_ahead,2,combined,seasonal_naive,historical_average,28,0.384643281735596,0.2799805764789888,0.48666776437957476,20260728,300
0,day_ahead,2,pickups,lightgbm_poisson,historical_average,28,0.024534790520380968,-0.02364885954672486,0.06790825904743164,20260728,300
0,day_ahead,2,pickups,poisson_glm,historical_average,28,3.4507615237326528,2.991259859420179,3.8478193661740367,20260728,300
0,day_ahead,2,pickups,recent_average,historical_average,28,0.10388869793177588,0.05639734711789371,0.16311883598952992,20260728,300
0,day_ahead,2,pickups,seasonal_naive,historical_average,28,0.19555536459844253,0.12463450443355205,0.2742690518708213,20260728,300
0,day_ahead,2,returns,lightgbm_poisson,historical_average,28,0.046479528466866184,-0.0010004902369641043,0.08051104276740485,20260728,300
0,day_ahead,2,returns,poisson_glm,historical_average,28,4.17401921614088,3.6909819800935293,4.611505436252002,20260728,300
0,day_ahead,2,returns,recent_average,historical_average,28,0.12160653695380419,0.06786263948967665,0.18446690159105203,20260728,300
0,day_ahead,2,returns,seasonal_naive,historical_average,28,0.19571367981094703,0.12980436743764526,0.26496765799826605,20260728,300
