model,track,mae,rmse,wape,total_failures,service_level,average_regret
historical_average,day_ahead,4.089610609112577,6.931701979538271,0.5100906211185341,64546,0.9540433885099547,4.306937095825985
poisson_gru,day_ahead,4.419192934758221,7.853700553239148,0.5511988999418712,71172,0.9486535591648247,6.97278071722516
poisson_gru,two_hour,3.4463163486291433,6.332025017991686,0.4298535520536172,71172,0.9486535591648247,6.97278071722516
historical_average,two_hour,4.089610609112576,6.931701979538271,0.510090621118534,64546,0.9540433885099547,4.306937095825985
