fold,track,horizon_step,target_type,model,baseline,day_blocks,mae_difference,ci_95_low,ci_95_high,bootstrap_seed,bootstrap_replicates
0,day_ahead,1,combined,poisson_gru,historical_average,28,0.33563698514531903,0.12402731994583142,0.5096079496550979,20260728,300
0,day_ahead,1,pickups,poisson_gru,historical_average,28,0.22048322308246054,0.10455877358873844,0.3111196247882959,20260728,300
0,day_ahead,1,returns,poisson_gru,historical_average,28,0.1503863692961811,0.07894204081525721,0.21009922727650482,20260728,300
0,day_ahead,2,combined,poisson_gru,historical_average,28,0.12827407978547686,-0.01603593999311463,0.22483975025307953,20260728,300
0,day_ahead,2,pickups,poisson_gru,historical_average,28,0.05534337336858296,-0.02279165192790876,0.10817190860803656,20260728,300
0,day_ahead,2,returns,poisson_gru,historical_average,28,0.05848892182471512,-0.01315817498637843,0.10945780230888849,20260728,300
0,day_ahead,3,combined,poisson_gru,historical_average,28,0.12597693093915985,0.02851365768331249,0.21829517661252354,20260728,300
0,day_ahead,3,pickups,poisson_gru,historical_average,28,0.10147525382481284,0.04772860910111046,0.14475683321119184,20260728,300
0,day_ahead,3,returns,poisson_gru,historical_average,28,0.019429001753779717,-0.018571302364092775,0.05904804804645196,20260728,300
0,day_ahead,4,combined,poisson_gru,historical_average,28,0.2954492797408995,0.202502372629377,0.398514619187906,20260728,300
0,day_ahead,4,pickups,poisson_gru,historical_average,28,0.2473290816612073,0.19276190100369964,0.30177023260669117,20260728,300
0,day_ahead,4,returns,poisson_gru,historical_average,28,0.08448330543648144,0.029941204114739363,0.1365068256951691,20260728,300
0,day_ahead,5,combined,poisson_gru,historical_average,28,0.887155618973732,0.6815786045743832,1.1162904674366787,20260728,300
0,day_ahead,5,pickups,poisson_gru,historical_average,28,0.5826457583903801,0.48004717672973596,0.6883703411029294,20260728,300
0,day_ahead,5,returns,poisson_gru,historical_average,28,0.35756280978606353,0.241587312219537,0.49104694912760416,20260728,300
0,day_ahead,6,combined,poisson_gru,historical_average,28,1.3976443782639545,1.0916594596380624,1.786125484857944,20260728,300
0,day_ahead,6,pickups,poisson_gru,historical_average,28,0.8759168099765924,0.7065548818425095,1.0682253849844494,20260728,300
0,day_ahead,6,returns,poisson_gru,historical_average,28,0.5661674212525124,0.4345410600516909,0.7396731518715999,20260728,300
0,day_ahead,7,combined,poisson_gru,historical_average,28,1.87337288501265,1.5650670383465128,2.2100497719059153,20260728,300
0,day_ahead,7,pickups,poisson_gru,historical_average,28,1.0743914468804827,0.882358365952028,1.2832748002978287,20260728,300
0,day_ahead,7,returns,poisson_gru,historical_average,28,0.9951018426235035,0.8387250823876081,1.1878208887932096,20260728,300
0,day_ahead,8,combined,poisson_gru,historical_average,28,5.065818579968236,4.499179770681637,5.594115658064284,20260728,300
0,day_ahead,8,pickups,poisson_gru,historical_average,28,2.2828659864302554,2.0192030021918628,2.504707741309007,20260728,300
0,day_ahead,8,returns,poisson_gru,historical_average,28,2.9159623831125026,2.619935214091836,3.2000529125453836,20260728,300
0,day_ahead,9,combined,poisson_gru,historical_average,28,13.507361164376876,11.271864883138166,15.568114304630257,20260728,300
0,day_ahead,9,pickups,poisson_gru,historical_average,28,5.061370403926185,4.134913813423521,5.854313395126238,20260728,300
